,subsets,len,count
0,{'CAX16'},1,356
1,{'CAX17'},1,131
2,{'DEX33'},1,294
3,{'JPX38'},1,331
4,{'MNX45'},1,362
5,{'NOX49'},1,283
6,{'SEX63'},1,361
7,{'USX74'},1,305
8,{'USX75'},1,351
9,"{'CAX16', 'CAX17'}",2,129
10,"{'CAX16', 'DEX33'}",2,287
11,"{'CAX16', 'JPX38'}",2,324
12,"{'CAX16', 'MNX45'}",2,354
13,"{'CAX16', 'NOX49'}",2,275
14,"{'SEX63', 'CAX16'}",2,353
15,"{'USX74', 'CAX16'}",2,301
16,"{'CAX16', 'USX75'}",2,343
17,"{'CAX17', 'DEX33'}",2,66
18,"{'CAX17', 'JPX38'}",2,123
19,"{'CAX17', 'MNX45'}",2,130
20,"{'CAX17', 'NOX49'}",2,115
21,"{'SEX63', 'CAX17'}",2,129
22,"{'USX74', 'CAX17'}",2,126
23,"{'CAX17', 'USX75'}",2,128
24,"{'JPX38', 'DEX33'}",2,269
25,"{'DEX33', 'MNX45'}",2,293
26,"{'NOX49', 'DEX33'}",2,229
27,"{'SEX63', 'DEX33'}",2,294
28,"{'USX74', 'DEX33'}",2,235
29,"{'USX75', 'DEX33'}",2,284
30,"{'JPX38', 'MNX45'}",2,329
31,"{'NOX49', 'JPX38'}",2,256
32,"{'SEX63', 'JPX38'}",2,328
33,"{'USX74', 'JPX38'}",2,272
34,"{'USX75', 'JPX38'}",2,318
35,"{'NOX49', 'MNX45'}",2,282
36,"{'SEX63', 'MNX45'}",2,359
37,"{'USX74', 'MNX45'}",2,303
38,"{'USX75', 'MNX45'}",2,349
39,"{'SEX63', 'NOX49'}",2,280
40,"{'USX74', 'NOX49'}",2,252
41,"{'USX75', 'NOX49'}",2,271
42,"{'SEX63', 'USX74'}",2,302
43,"{'SEX63', 'USX75'}",2,348
44,"{'USX74', 'USX75'}",2,302
45,"{'CAX16', 'CAX17', 'DEX33'}",3,65
46,"{'CAX16', 'JPX38', 'CAX17'}",3,122
47,"{'CAX16', 'CAX17', 'MNX45'}",3,128
48,"{'CAX16', 'NOX49', 'CAX17'}",3,113
49,"{'SEX63', 'CAX16', 'CAX17'}",3,127
50,"{'USX74', 'CAX16', 'CAX17'}",3,124
51,"{'CAX16', 'CAX17', 'USX75'}",3,126
52,"{'CAX16', 'JPX38', 'DEX33'}",3,262
53,"{'CAX16', 'DEX33', 'MNX45'}",3,286
54,"{'CAX16', 'NOX49', 'DEX33'}",3,222
55,"{'SEX63', 'CAX16', 'DEX33'}",3,287
56,"{'USX74', 'CAX16', 'DEX33'}",3,232
57,"{'CAX16', 'USX75', 'DEX33'}",3,277
58,"{'CAX16', 'JPX38', 'MNX45'}",3,322
59,"{'CAX16', 'JPX38', 'NOX49'}",3,249
60,"{'SEX63', 'CAX16', 'JPX38'}",3,321
61,"{'USX74', 'CAX16', 'JPX38'}",3,269
62,"{'CAX16', 'JPX38', 'USX75'}",3,311
63,"{'CAX16', 'NOX49', 'MNX45'}",3,274
64,"{'SEX63', 'CAX16', 'MNX45'}",3,351
65,"{'USX74', 'CAX16', 'MNX45'}",3,299
66,"{'CAX16', 'USX75', 'MNX45'}",3,341
67,"{'SEX63', 'CAX16', 'NOX49'}",3,272
68,"{'USX74', 'CAX16', 'NOX49'}",3,248
69,"{'CAX16', 'NOX49', 'USX75'}",3,263
70,"{'SEX63', 'USX74', 'CAX16'}",3,298
71,"{'SEX63', 'CAX16', 'USX75'}",3,340
72,"{'USX74', 'CAX16', 'USX75'}",3,298
73,"{'CAX17', 'JPX38', 'DEX33'}",3,66
74,"{'CAX17', 'DEX33', 'MNX45'}",3,66
75,"{'CAX17', 'NOX49', 'DEX33'}",3,66
76,"{'SEX63', 'CAX17', 'DEX33'}",3,66
77,"{'USX74', 'CAX17', 'DEX33'}",3,61
78,"{'CAX17', 'USX75', 'DEX33'}",3,66
79,"{'CAX17', 'JPX38', 'MNX45'}",3,122
80,"{'CAX17', 'JPX38', 'NOX49'}",3,111
81,"{'SEX63', 'CAX17', 'JPX38'}",3,121
82,"{'USX74', 'CAX17', 'JPX38'}",3,118
83,"{'CAX17', 'JPX38', 'USX75'}",3,120
84,"{'CAX17', 'NOX49', 'MNX45'}",3,114
85,"{'SEX63', 'CAX17', 'MNX45'}",3,128
86,"{'USX74', 'CAX17', 'MNX45'}",3,125
87,"{'CAX17', 'USX75', 'MNX45'}",3,127
88,"{'SEX63', 'CAX17', 'NOX49'}",3,113
89,"{'USX74', 'CAX17', 'NOX49'}",3,110
90,"{'CAX17', 'NOX49', 'USX75'}",3,112
91,"{'SEX63', 'USX74', 'CAX17'}",3,124
92,"{'SEX63', 'CAX17', 'USX75'}",3,126
93,"{'USX74', 'CAX17', 'USX75'}",3,123
94,"{'JPX38', 'DEX33', 'MNX45'}",3,268
95,"{'NOX49', 'JPX38', 'DEX33'}",3,206
96,"{'SEX63', 'JPX38', 'DEX33'}",3,269
97,"{'USX74', 'JPX38', 'DEX33'}",3,210
98,"{'USX75', 'JPX38', 'DEX33'}",3,259
99,"{'NOX49', 'DEX33', 'MNX45'}",3,229
100,"{'SEX63', 'DEX33', 'MNX45'}",3,293
101,"{'USX74', 'DEX33', 'MNX45'}",3,234
102,"{'USX75', 'DEX33', 'MNX45'}",3,283
103,"{'SEX63', 'NOX49', 'DEX33'}",3,229
104,"{'USX74', 'NOX49', 'DEX33'}",3,198
105,"{'USX75', 'NOX49', 'DEX33'}",3,220
106,"{'SEX63', 'USX74', 'DEX33'}",3,235
107,"{'SEX63', 'USX75', 'DEX33'}",3,284
108,"{'USX74', 'USX75', 'DEX33'}",3,235
109,"{'NOX49', 'JPX38', 'MNX45'}",3,255
110,"{'SEX63', 'JPX38', 'MNX45'}",3,326
111,"{'USX74', 'JPX38', 'MNX45'}",3,270
112,"{'USX75', 'JPX38', 'MNX45'}",3,316
113,"{'SEX63', 'NOX49', 'JPX38'}",3,253
114,"{'USX74', 'NOX49', 'JPX38'}",3,225
115,"{'NOX49', 'JPX38', 'USX75'}",3,244
116,"{'SEX63', 'USX74', 'JPX38'}",3,269
117,"{'SEX63', 'USX75', 'JPX38'}",3,315
118,"{'USX74', 'USX75', 'JPX38'}",3,269
119,"{'SEX63', 'NOX49', 'MNX45'}",3,279
120,"{'USX74', 'NOX49', 'MNX45'}",3,251
121,"{'USX75', 'NOX49', 'MNX45'}",3,270
122,"{'SEX63', 'USX74', 'MNX45'}",3,300
123,"{'SEX63', 'USX75', 'MNX45'}",3,346
124,"{'USX74', 'USX75', 'MNX45'}",3,300
125,"{'SEX63', 'USX74', 'NOX49'}",3,249
126,"{'SEX63', 'USX75', 'NOX49'}",3,268
127,"{'USX74', 'USX75', 'NOX49'}",3,249
128,"{'SEX63', 'USX74', 'USX75'}",3,299
129,"{'CAX16', 'JPX38', 'CAX17', 'DEX33'}",4,65
130,"{'CAX16', 'CAX17', 'DEX33', 'MNX45'}",4,65
131,"{'CAX16', 'NOX49', 'CAX17', 'DEX33'}",4,65
132,"{'SEX63', 'CAX16', 'CAX17', 'DEX33'}",4,65
133,"{'USX74', 'CAX16', 'CAX17', 'DEX33'}",4,60
134,"{'USX75', 'CAX16', 'CAX17', 'DEX33'}",4,65
135,"{'CAX16', 'JPX38', 'CAX17', 'MNX45'}",4,121
136,"{'CAX16', 'JPX38', 'CAX17', 'NOX49'}",4,110
